id,question,option_a,option_b,option_c,option_d,correct_option
OIC-336-10-B,What is the preferred indication for emergency MRI in adults and children suspected of having a brain hemorrhage?,"Ischaemic stroke (e.g., basilar trunk thrombosis, malignant sylvian stroke)",Encephalitis,Diabetes mellitus,Cerebral palsy,option_a
OIC-336-03-A,What does a 'normal' Glasgow Coma Score represent in adults and children?,A score of Y4 indicates spontaneous eye opening,A score of V5 indicates complete verbal response,A score of M6 indicates no motor response to pain,A score of Y1 indicates failure to open eyes to pain,A score of Y4
OIC-336-05-A,What is the correct interpretation of the context in which a child's coma is diagnosed?,Chronic intoxication with certain substances,Farewell letter and prescription for oral antidiabetics or insulin,"Trauma to the head, including bruises and hematoma",Dilated pupils and increased body temperature,option_a
OIC-336-02-B,What is a common mechanism contributing to coma in adults?,Underlying brain injury from trauma,Dehydration leading to cerebral edema,Inadequate blood flow to the brain,Electrolyte imbalance causing seizures and subsequent coma,a
OIC-336-14-A,What is the primary goal of initial symptomatic management in adults and children with a non-traumaticoma?,To stabilize the patient's airway,To administer an antidote to reverse opioid intoxication,To immediately call for ambulance services,To assess the need to place the patient in a coma,To stabilize the patient's airway
OIC-336-15-B,What is the primary goal when performing mechanical ventilation in patients with severe respiratory failure?,Increase blood pressure,Decrease PaCO2 levels,Maintain normal temperature,Infuse glucose into the patient's IV line,b
OIC-108-03-A,What is a common neurological cause of mental confusion?,Meningitis,Tumors,AVEC,Epilepsy,b
OIC-108-13-B,What is a common indication for imaging in dementia or confusion?,Focal neurological signs,CT scan,Cerebral MRI,Lumbar puncture,c
OIC-108-14-B,What is the characteristic crescent-shaped appearance of subdural hematoma?,True,False,"Crescent-shaped, but also spherical",Incorrect,crescent-shaped
OIC-108-04-A,What are the main non-neurological causes of mental confusion?,Alcohol intoxication,Toxins,Infections,Other factors,b
OIC-108-01-B,What is a common risk factor for mental confusion in individuals with chronic psychiatric pathologies?,Sleep deprivation,Asthma,Neurological disorders such as multiple sclerosis or Parkinson's disease,Bipolar disorder,c
OIC-108-08-A,What is the main difference between mild dementia and severe dementia?,Mild dementia affects only memory functions,Severe dementia is characterized by loss of basic activities of daily living,"Severe dementia involves significant changes in cognitive function, including executive functions","Mild dementia affects only one aspect of cognition, while severe dementia affects multiple aspects",c
OIC-108-16-B,What is a characteristic feature of chronic adult hydrocephalus?,Tetraventricular dilatation,Absence of mass effect,Suffusion of fluid into the periventricular parenchyma (transependymal resorption),Hydrocephalus linked to the presence of an identified obstacle to CSF flow,c
OIC-108-06-A,What should be done immediately in a patient with mental confusion?,Provide medication,Use heat therapy,Administer physical restraint,Monitor vital signs only,option_a
OIC-108-10-A,What is a common organic cause of confusion in Alzheimer's Disease?,Hypothyroidism,Vitamin B12 deficiency,Syphilis,HIV,b
OIC-108-12-B,What are the typical regions affected in topographical reasoning when faced with a dementia syndrome?,Temporal Lobe Involvement,Parietal Lobe Involvement,Frontal Lobe Involvement,Cerebellum Involvement,option_a
OIC-108-05-A,What is the main indication for a lumbar puncture in cases of mental confusion?,Fever with no point of call,Suspicion of encephalitis (after CT and/or MRI),Brain scan without injection,"EEG (non-convulsive malaise, metabolic encephalopathy)",option_a
OIC-108-17-B,What is the primary indication for a 18FDG PET scan in dementia?,To diagnose Alzheimer's disease,To differentiate between Alzheimer's and Lewy body disease,To assess cognitive decline in early stages of minor TNC,For diagnostic hesitation between frontotemporal lobar degeneration and diffuse Lewy body disease,option_a
OIC-108-07-B,What is the main difference between β-amyloid plaque formation and neurofibrillary degeneration?,"Amyloid plaques are primarily found in the hippocampi, while tau protein NFDs are mainly located in the medial temporal regions.","Tau protein NFDs are associated with Alzheimer's disease neuropathology, whereas β-amyloid plaques are not",β-amyloid plaques and tau protein NFDs both form in the hippocampi and affect primary visual cortex neurons.,"Tau protein NFDs are primarily found in the motor cortex and parietal lobe, while β-amyloid plaques are mainly located in the prefrontal cortex.",b
OIC-108-02-A,"What is a characteristic symptom of Confusion (mental confusion, confusional syndrome)?",Severe attention deficit disorder,A severe case of dementia,Fluctuating sleep patterns,Mental retardation,c
OIC-108-11-A,What is the primary goal of non-drug management in Alzheimer's disease?,To manage symptoms,To improve quality of life for patients and families,To control medical treatment,To provide emotional support,b
OIC-108-09-A,What is the main difference between episodic memory consolidation disorder and a recovery disorder?,Loss of recall,Intrusions into previously forgotten words,No help from category clues,"Above all, the absence or weakness of the help provided by category clues",d
OIC-153-01-A,What is the main difference between mechanical prostheses and biological stents?,They have a different material composition,They both use Dacron to anchor the prosthesis,Biological stents are more durable than mechanical prostheses,Mechanical prostheses require long-term anticoagulation but biological stents do not,d
OIC-153-02-A,What is the most common complication associated with wearers of bioprosthetic valves?,Bioprosthetic valve degeneration,Paraprosthetic leak,Haemolytic anaemia,Staphylococcal endocarditis,option_d
OIC-153-05-A,What is the correct target INR range for patients with mechanical prostheses in high-risk positions?,3.1,4.0,2.5,3.5,b
OIC-153-03-A,How often should INR be monitored for patients on VKAs?,Monthly,Every six months,Only when symptoms occur,Annually,d
OIC-153-06-B,What is the primary examination to confirm haemolysis following prosthetic valve removal?,Transesophageal Echocardiography,Transthoracic Echocardiography,Colour Doppler ultrasound,Biological tests only,b
OIC-153-04-A,What should be done if a patient's fever and unknown murmur are not explained by a known cause?,Antibiotic treatment,Antibiotic prophylaxis,Antiviral medication,Blood transfusion,option_a
OIC-006-07-A,What is the primary purpose of a Morbidity and Mortality Meeting (RMM)?,To improve patient outcomes by analyzing adverse events and implementing corrective actions,To discuss patient complaints and provide customer service,To review medical records and identify areas for improvement,To conduct a routine meeting to update staff on hospital policies,option_a: To improve patient outcomes by analyzing adverse events and implementing corrective actions
OIC-006-08-A,What is the main purpose of the **Emergency Medical Structures** (EMS)?,To provide emergency medical assistance to patients in need,To coordinate emergency response efforts between hospitals and healthcare facilities,To manage patient transfers between different care settings,To train healthcare professionals for emergency care,option_a
OIC-006-03-A,What is the main idea of the care pathway?,A list of steps to follow in a patient's treatment plan,The order in which patients are treated by different healthcare professionals,A sequence of tasks that must be performed simultaneously to ensure effective care,A chronological order of events in the patient's life,a
OIC-006-04-B,What is the main purpose of a Multi-Professional Protocol?,To improve patient outcomes,To increase healthcare costs,To enhance patient autonomy,To facilitate communication among professionals,d
OIC-006-01-A,What is one main objective of multi-professional teamwork?,To achieve better patient outcomes,To improve communication between healthcare providers,To increase patient satisfaction with care,To reduce costs for the organization,option_a
OIC-006-06-A,What is the primary goal of a checklist in clinical practice?,To ensure accurate identification of patients,To reduce medical errors,To increase patient satisfaction,To enhance surgical performance,b
OIC-006-02-A,What is a common method of working in multi-professional teams?,A checklist,A mortality and morbidity review meeting,A multidisciplinary consultation meeting,RCP protocol,c
