question,cop,opa,opb,opc,opd,subject_name,id,prediction
"A 65 years old lady presented with a swollen and painful knee. On examination, she was found to have grade III osteoarthritic changes. What is the best course of action?",A,Conservative management,Arthroscopic washing,Partial knee replacement,Total knee replacement,Orthopaedics,c0714d1b-9f00-4368-bddd-9f15ad78246d,D
Colonic diverticulosis is best diagnosed by,C,Colonoscopy,Nuclear scan,Barium enema,CT scan,Surgery,cf1290a1-f7a3-41c4-a12b-858094c92c65,C
This type of psoriasis is commonly seen in children and may follow a streptococcal sore throat:,D,Pustular,Stable plaque,Arthropathic,Guttate,Skin,c2ebeed7-771a-435a-8ba1-70e0d0b81dda,D
"In neonatal screening programme for detection of congenital hypothyroidism, the ideal place and time to collect the blood sample for TSH estimation is ?",A,Cord blood at time of bih,Heal pad blood at the time of bih,Heal pad blood on 4 day of bih,Peripheral venous blood on 28 day,Pediatrics,9128c7a8-90ec-4b67-a22d-e1075606197b,C
Pulse proteins are poor in?,A,Methionine,Lysine,Threonine,Alanine,Social & Preventive Medicine,ff1c70df-3017-4bd1-91c9-4a1e4bf88715,A
Registration of bihs should be done,B,After 21 days,Before 21 days,Within 15days,Within 30 days,Social & Preventive Medicine,cc01fb25-e777-4934-a861-042c54514a20,C
The resting membrane potential depends mainly on gradient of,B,Sodium,Potassium,Chloride,Calcium,Physiology,b735bf17-7282-426a-afbc-0e8b1335bea1,B
Podocytes are seen in,A,Bowman's capsule,Proximal consulted tubule,Distal convoluted tubule,Collecting tubule of the kidney,Pathology,aed7ab53-d648-41d1-b90e-17203faba2cb,A
Birth weight of newborn baby doubles by ?,B,4 months,5 months,6 months,7 months,Pediatrics,84469103-ed48-4068-ba85-80f1dff1570e,C
X-ray detect congenital anorectal malformation at:,B,Immediately after birth,24-48 hours,48 - 72 hours,After 72 hours,Pediatrics,a3e879cd-4cfd-45de-a61e-cfabb9916210,B
Which of the following serum levels of lithium is therapeutic ?,C,0.1-0.4 mmol/L,0.5-0.7 mmol/L,0.8-1.1 mmol/L,L2-1.5 mmol/L,Pharmacology,97160ee9-7d76-435e-9481-83925490548a,C
Which drug inhibits absorption of cholesterol from intestine?(DNB 2012-section-1),B,Resins,Ezetimibe,Niacin,Orlistat,Pharmacology,2e5d667e-eef9-4860-9253-6f456c1e689b,B
The first sign of Vitamin A deficiency is,A,Conjunctival xerosis,Corneal ulcer,Keratomalacia,Bitot's spot,Microbiology,91f11aee-d509-4f72-a733-c51f99efc355,A
U-slab is given for fracture of -,D,Femur,Radius,Tibia,Humerus,Orthopaedics,8a6537b1-bc53-42e3-a1a9-4838d60ed014,D
Otto veraguth sign is found in -,D,Mania,Anxiety,OCD,Depression,Psychiatry,d537fe8c-6827-4e81-b568-a773c6075e2b,D
What term is used to describe this finding?,D,Arc eye,Asthenopia,Choroideremia,Coloboma,Medicine,9ca251f4-9028-432a-b316-02eaca00d6c1,D
"A young man is prescribed parenteral antibiotics for respiratory tract infection. He collapses immediately after receiving the first dose, with tachycaiidia,wheezing,and a drop in blood pressure. The most appropriate immediate interventions this situation would be to administer -",C,Intravenous saline,Intravenous hydrocoisone,Subcutaneous epinephrine,Nebulized salbutamol,Medicine,cbddaf98-617b-460b-9127-4a550799a48a,C
Which of the following propey of drug will enable it to be used in low concentrations -,D,High affinity,High specificity,Low specificity,High stability,Pharmacology,c6606fb8-e6a7-44ba-9c19-22cc4021afbe,A
Timolol is contraindicated in:,C,Hypertension,Glaucoma,COPD,Aphakia,Pharmacology,bcf38b14-8ac2-48ad-bf6c-98c7edbc2911,C
Ionising radiation acts on tissue depending upon:,B,Linear acceleration energy,Excitation of electron from orbit,Formation of pyrimidine dimers,Thermal injury,Radiology,3ca7fe30-c35f-4134-adca-87688e7adb98,B
Safest transplantation approach in liver disease-,C,Directly transplanting embryonic stem cell in the liver,Transplanting donor hepatocytes into liver,Transplanting mesenchymal stem cell from adipose tissue to liver,Injecting erythropoietin into body,Medicine,7e25c218-c643-461a-bc0a-c25e4a253002,B
Extrapyramidal side effects are common in,D,Anti depressants,Anti epileptics,Anti maniacs,Anti psychotics,Pharmacology,2d6983a7-9904-4368-9ce6-01cac77645b9,D
Main pa of pulmonary aery is a derivative of which of the following branchial arch?,D,2nd arch,3rd arch,4th arch,6th arch,Anatomy,5e60bf4c-daba-4cd7-8291-85ed0e0dc73d,D
The commonest site of liquefactive necrosis is,D,Kidney,Liver,Spleen,Brain,Pathology,58815e2d-9509-48f2-b9ad-cfff60468274,D
The ocular hypotensive agent causing apnoea in infants is,D,Latanoprost,Betaxolol,Timolol,Brimonidine,Ophthalmology,8fdeb8ae-3a53-477f-9a97-1ce340abeab3,C
Dark brown P.M. lividity is seen in -,C,Aniline,CO,Phosphorus,Hydrocyanide,Forensic Medicine,35ce181d-7a19-49af-af0e-f56112980ccb,A
In normal adult wave v is generated from:,C,Cochlear nucleus,Superior olivary complex,Lateral lemniscus,Inferior colliculus,ENT,b0e93440-7ede-421c-a07f-9c018278765a,D
Gene affected in breast cancer?,B,WT1,p53,RAS,p83,Pathology,fb070130-bc61-44d6-b500-53bd61f0737f,B
When do you operate for prolapsed disc?,C,Busy executive needs quick surgery,Only with weakness no pain,Severe pain interfering with activity and not relieved by rest and treatment of 8 weeks,Patient of PID with difficulty in ambulation,Orthopaedics,fb1b0f68-8408-4514-8512-25abef6da90d,C
"The parietal peritoneum covering the inferior surface of the diaphragm transits its sensory information via the phrenic nerve. In the case of peritonitis in the parietal peritoneum on the inferior surface of the diaphragm, pain may be referred through which of the following nerves?",D,A,B,C,D,Anatomy,1d798a72-cfe5-4375-8458-29c156bcadab,A
Lichenisation occurs in which layer of skin-,A,Stratum malpighi,Stratum corneum,Stratum lucidum,Stratum granulosum,Dental,cdadc357-2c61-4125-aa3c-e92e54a8cb22,A
What is p24:,B,Envelope antigen in HIV,Core antigen in HIV,Genome of HIV,Shell antigen,Microbiology,8fe67160-1d7d-4c2a-bfd0-6a311eaec9e9,B
Which one of the following is NOT a feature of Delirium?,D,Impairment of consciousness and attention,Global disturbance of cognition,Disturbance of sleep-wake cycle,Catastrophic reaction,Psychiatry,edf99e4e-7ff7-4631-8d7d-c432b0400b9c,D
Which of the following stages of demographic cycle has declining population:,D,Second,Third,Fouh,Fifth,Social & Preventive Medicine,6df37fc4-f55f-46c4-9dc5-342445681272,D
Hypehermia is caused by:,B,Anticholinnergics,MAO inhibitors,Lithium,Chlorpromazine,Anaesthesia,3d05fde6-6623-42c5-a840-4e7ec25f934c,A
Which of the following NSAID has good tissue penetrability with concentration in synovial fluid,B,Ketorolac,Diclphenac sodium,Sulindac,Piroxicam,Pharmacology,406a8d0b-a038-4335-845c-55f05b090908,B
Diaphyseal aclasis is ?,A,Multiple exostosis,Multiple enchondromatosis,Multiple hemagioma,Multiple osteoid osteoma,Surgery,59019f42-174b-40b4-9e3c-825317d3e930,A
"A young patient presented with blood pressure of 190/120 mm of Hg without any clinical symptom and fundus examination is normal, treatment of choice:",C,Oral Nitroglycerine,I.V. Nitroglycerine,Oral Enalapril,IV Enalarpil,Medicine,0e2f9285-dd58-42af-98c3-7858785a3847,C
Resolving ahroplasty seen in,A,Shoulder dislocation,Elbow dislocation,Knee dislocation,Hip dislocation,Orthopaedics,d3f9ecc0-4c54-4382-890d-43110d93263c,D
Drug used to control secretions in GA:,B,Hyoscine,Glycopyrrolate,Pethidine,Lorazepam,Anaesthesia,0bcb65a7-5d10-423d-9d69-b419b8e0ae2d,B
Ureters are identified during surgery by -,A,Peristalsis d/t flow of urine,Rich arterial plexus,Relation to renal vein & artery,Relation to lumbar plexus,Anatomy,d035418a-f5af-4fc5-b25c-2c642f85da35,A
"""Raptures of the depth"" are caused by:",C,CO narcosis,CO2 narcosis,N2 narcosis,O2 toxicity,Physiology,8267d026-0834-4c56-9496-f4540cabe15c,C
Sea shore sign on USG is see in,B,Pneumo thorax,Normal lung,Pleural effusion,Pulmonary edema,Radiology,35e55ba3-462a-42b1-9a60-7284007dd60f,B
Which of the following is not seen in middle third fracture of the face?,B,Face lengthening,Face shoening,Teeth malocclusion,CSF rhinorrhea,ENT,ab2a096b-f2cb-493b-abf2-4f1ca8fdb463,B
"In an 8 day old child with no history of consanguinity in the parents, the mother repos blisters and bleeding off of the skin at the site of handling and pressure. There was a similar history in the previous child which proved to be fatal. The diagnosis is",C,Bullous pemphigoid,Congenital syphilis,Congenital epidermolysis bullosa,Letterer - Swiwe disease,Dental,c79234a8-5d6b-486b-9df2-cd86fe259a2d,C
TB spine most commonly affects?,C,Lumbar vertebra,Cervical,Thoracic,Sacral,Orthopaedics,71c5cc98-fa07-4c11-992d-6354347b55ff,C
Most common malignant tumour in childhood ?,B,Rhabdomyosarcoma,Leukemia,Lymphangioma,Neuroblastoma,Pediatrics,ca04a8e9-2723-4062-ad8f-4f06c7bca7de,B
Standard in perimetry is,C,Goldman type I,Goldman type II,Goldman type III,Goldman type IV,Ophthalmology,76edc5cb-1576-4154-a32d-14d981098700,C
A 70-year-old man with a history of diabetes presents with severe pain in his right ear. The patient was diagnosed with external otitis. Further tests suggested that the patient suffered bone and nerve damage. Clinical laboratory analysis showed that the isolated microorganism produced a distinct blue pigment as well as an ADP-ribosylation toxin. What is the most likely causative agent?,C,Staphylococcus epidermidis,Staphylococcus aureus,Pseudomonas aeruginosa,Enterococcus faecalis,Microbiology,638da813-7930-423d-8edf-5d99478f4aff,C
Which set of hormones have nuclear receptor:,D,"Estrogen, Thyroxin & Glucagon","Estrogen, Thyroxin & TSH","Estrogen, TSH & Gonadotropin releasing hormone (GnRH)","Retinoic acid, Thyroxin & Luteinizing hormone (LH)",Physiology,476d0f96-fb39-45c2-a904-a32a09851ecb,A
Point A in radiotherapy for carcinoma cervix corresponds to,D,Lateral pelvic lymph nodes,Urinary bladder,Rectum,Uterine vessel crossing the ureter,Radiology,67560313-545a-42f8-a8cf-7e2a710b8a81,D
Which of the following is not a feature of rhinosporidiosis?,B,Bleeding polyp,Russel bodies are seen,Oral dapsone is useful in treatment,Excision with the knife is the treatment,ENT,11429601-f42a-41d7-98f1-01dace9d6a1e,B
What is the treatment of choice for Erythrasma?,C,Mupirocin ointment,Fusidic acid ointment,Azole cream,Terbinafine cream,Skin,b1505806-674f-4f51-8fe4-7e76a0ef56fd,C
The finnish type of congenital nephritic syndrome occurs due to gene mutation affecting the following protein -,C,Podocin,Alpha-actinin,Nephrin,CD2 activated protein,Pediatrics,4d920461-1eab-47fd-9171-a46ccc0abdff,C
"A 23-year-old woman consults an obstetrician because of the onset of vaginal bleeding in what she considers to be the fifth month of pregnancy; however, examination reveals the uterus to be enlarged to the size of a 7-month pregnancy. Intravaginal ultrasound fails to detect a fetal heabeat and instead shows a ""snowstorm pattern."" HCG is markedly elevated. These findings are strongly suggestive of",D,Preeclampsia.,Eclampsia.,Ectopic pregnancy.,Hydatidiform mole.,Pathology,d617e657-9622-4975-812e-77defe710235,D
ALARA is an acronym that stands for:,D,As Low As Reasonably Applicable,As Low As Reasonably Asseable,As Low As Reasonably Available,As Low As Reasonably Achievable,Radiology,13573251-d948-4e0c-8806-3fbe7958056f,D
Kanawati index is used for ?,B,Air population,PEM,Obesity definition,Infectivity,Social & Preventive Medicine,867a7d84-e67d-409f-a208-01a841a3ceb3,B
Infra-abdominal calcificaition in a plane X-ray abdomen is most often seen in -,B,Meconium ileus,Meconium peritonitis,Meconium plug syndrome,Necrotising enterocolitis,Surgery,1473fda2-4619-4005-9e9f-b9eeeda3cf98,B
A young man following A presented with proptosis and pain in right eye after four days. On examination there is bruise on forehead and right eye. What is the diagnosis:,C,Cavernous sinus thrombosis,Internal carotid aery aneurysm,Carotico-cavernous fistula,Fracture of sphenoid,Ophthalmology,b81a2863-d666-4c59-8e5b-0d4a023a5813,C
Wound contraction is mediated by –,C,Epithelial cells,Collagen,Myofibroblasts,Elastin,Pathology,4110f345-7c23-42e8-bb3a-1e0b12410457,C
Which one of the following blood fractions is stored at - 40degC?-,A,Cryprecipitate,Human albumin,Platelet concentrate,Packed red cells,Surgery,84ac4e1b-a428-4d7c-a8e6-80f761728904,A
Radiation protector drug in clinical use among the following is,A,Amifostine,Cisplatin,Mesna,Tirapazamine,Pharmacology,41f2965c-fd9b-43ce-ac28-30d62d21372d,A
The following separation technique depends on the molecular size of the protein,C,Chromatography on a carboxymethyl cellulose column,Iso-electric focusing,Gel filtration chromatography,Chromatography on a diethylaminoethyl (DEAE) cellulose column,Biochemistry,e8f22d5d-3712-43d0-9ecf-c489c8b69019,C
Joint not involved in osteoahritis is,C,DISTAL INTERPHALYNGEAL JOINTS,KNEE JOINT,METACARPOPHALYNGEAL JOINT,PROXIMAL INTERPHALYNGEAL JOINT,Orthopaedics,327d4450-eef2-496c-8da6-129689e8c47f,C
Which layer of epidermis is underdeveloped in the VLBW infants in the initial 7 days:,D,Stratum germinativum,Stratum granulosum,Stratum lucidum,Stratum corneum,Skin,ef86c349-c7fa-4f18-8bd4-459bba39746d,D
The commonest cause for neuralgic pain in the foot is -,A,Compression of comunication between medial and lateral planter nerves,Exaggeration of longitudinal arches,Injury to deltoid ligament,Shortening of planter aponeurosis,Orthopaedics,41609736-ac27-4102-a4a2-2438db79c812,A
Which is NOT a common cause of Meningitis in adults?,D,Group B streptococcus,Mycobacterium tuberculosis,Staph. aureus/H. influenza,Str. pyogenes -- Group A,Microbiology,48697760-f1a6-4e88-960c-faa63b0e2c8b,D
Which of the following is an anchoring protein?,B,Myosin,Actinin,Troponin,Tropomyosin,Biochemistry,d24bc0cd-ce8a-4499-9a21-f83d3a50fa95,B
Inhalational agent of choice in children:,A,Sevoflurane,Isofurane,Desflurane,Halothane,Anaesthesia,194a9466-d2fa-4259-ae01-1ada81339e75,A
Which Antibody has highest molecular weight,D,IgG,IgE,IgD,IgM,Microbiology,4984d57f-8c28-4f78-93cf-c18e49869421,D
Masochism means: TN 09,C,Sexual intercourse with dead body,Sexual pleasure by contact with aicles of opposite sex,Sexual pleasure by suffering of pain,Sexual pleasure by self-stimulation,Forensic Medicine,c139d98d-9e37-4de9-b423-e60405404db1,C
Which is the following structure passes through the lateral pa of superior orbital fissure,A,Superior ophthalmic vein,Inferior ophthalmic vein,Abducent nerve,Nasociliary nerve,Anatomy,29613abc-9ed7-4f5a-889c-d61eaa2d4095,A
A 35-year-old coal worker presents with difficulty in breathing on exeion for last 2 years. CXR was performed. What does it show?,A,Emphysema,Reticulonodular infiltrates,Pulmonary fibrosis,Cardiac atrophy,Medicine,1ef10f1f-2c16-44cf-8493-0c845033795d,B
Locard's exchange principle is for-,D,Detecting poisoning,Estimating the age,Finding out time since death,Detecting crime,Forensic Medicine,a56770cb-def2-4260-959d-3d129a79fe69,D
Viterous humor is preserved in: AIIMS 07,B,HCl,Fluoride,Formalin,Xylol,Forensic Medicine,93a57220-615b-40c1-9ede-74cab07abfc4,B
Commonest cause of moality in Ivor Lewis operation,B,Pulmonary atelectasis,Anastmotic leak,Thorasic duct fistula,Sub diphragmatic collection,Surgery,087c8a41-0a7e-426e-86c8-4b8081dc9901,B
Pearson formula is used for calculating,B,Cephalic index,Stature,Race,Age,Forensic Medicine,4a2deedf-8979-45fb-95fa-37b911b0eeae,B
Hemorrhagic external otitis media is caused by?,A,Influenza,Proteus,Staphylococcus,Klebsiella,ENT,7e9865d9-2d9b-4358-8c4e-e1314ef9db4a,A
"A 63-year-old woman with chronic bronchitis presents with shoness of breath. A chest X-ray reveals a 2-cm ""coin lesion"" in the upper lobe of the left lung. A CT-guided lung biopsy is obtained. Which of the following describes the histologic features of this lesion if the diagnosis is hamaoma?",B,Benign neoplasm of epithelial origin,Disorganized normal tissue,Ectopic islands of normal tissue,Granulation tissue,Pathology,c73ae72a-80f1-41e6-b08d-00031da81fbf,B
An improved selective media to carry out the Lactobacillus Colony Test is:,B,Tomato peptone agar,Rogosa’s medium,Hektoen enteric agar,Mitis salivarius agar,Dental,882cfcbf-770c-44ca-ab36-4cf414af22aa,B
Which index helps to assess the linear displacement of the adjacent anatomic contact points of anterior teeth?,B,Occlusal Feature Index (OFI),Irregularity Index,Handicapping Labio-lingual Deviation Index (HLDI),Discrepancy Index,Dental,37e60e02-733a-4486-9533-15a7eaf774c9,B
Dactylography is a:,A,Surest sign of identification,Probable sign of identification,Presumptive sign of identification,Doubtful sign of identification,Forensic Medicine,654bb56b-8221-49a6-9957-8736e4cb1aed,A
Species specific test is:,A,Precipitin test,Takayama test,Absorption elution test,Kastle Mayer test,Forensic Medicine,1c43d2bc-2258-434d-8755-7bcb22a946d5,A
Which inhalational agent acts on NMDA receptor:-,A,Xenon,Desflurane,Sevoflurane,Isoflurane,Anaesthesia,daef0b5c-adb2-496c-9e9e-e7bf39872d80,A
Frontal sinus drain into:,C,superior meatus,Inferior meatus,Middle meatus,Ethmoid recess,ENT,cf46a238-2763-45ce-929e-572dcc646096,C
Longest extraocular muscle is,C,Superior Rectus,Inferior rectus,Superior Oblique,Inferior oblique,Ophthalmology,063e8fbf-e3a3-4bb0-a1e7-137fe004f343,C
Anticentromere antibodies are most commonly associated with,C,Diffuse cutaneous systemic sclerosis,Mixed connective tissue disease,CREST syndrome,Polymyositis,Medicine,4554e3b0-70c5-485f-ba31-2647016dea40,C
Neostigmine is used for reversing the adverse effect of –,A,d TC + pancuronium,d TC only,Alcuronium only,Ketamine complication,Anaesthesia,aaef40dc-ab9a-4b67-b641-cef952ec090f,A
Optic neuritis causes -,D,Gradual painless loss of vision,Sudden painless loss of vision,Gradual painful loss of vision,Sudden painful loss of vision,Ophthalmology,905841de-43c9-4ca7-91c5-b17beacc6d7b,B
Normal Biophysical Profile (Manning Score) is,A,10-Aug,8-Jun,6-Apr,4-Mar,Gynaecology & Obstetrics,7b0ff59c-49ff-42f9-b390-e3ca55c138cb,A
Single drug regimen for carcinoma esophagus which shows significant decrease in tumor size in 15 - 20% of patients incorporates which drug?,A,Cisplatin,Bleomycin,Doxorubicin,Vincristine,Surgery,d68980d4-ec2b-4c57-986e-c3b961a538ec,A
