id,question,option_a,option_b,option_c,option_d,correct_option
OIC-039-09-A,Which of the following is NOT a main indication for egg or sperm donation?,Risk of transmitting a serious viral disease to the other partner,Severe double infertility for infertile couples,Female couple and unmarried woman with severe infertility,No wish to use gamete donation assisted medical procreation (AMP),option_b
OIC-039-03-A,What is the main biological or medical reason for the use of Intra-Uterine Insemination (IUI)?,To mature one to three follicles or induce ovulation for patients with menstrual cycle disorders (Abnormal genital bleeding),To prevent spontaneous premature ovulation,To stimulate the hypothalamic-pituitary axis in a manner that would lead to an increase in ovarian stimulation,"} What is the main biological or medical reason for the use of Intra-Uterine Insemination (IUI)? , ",To mature one to three follicles or induce ovulation for patients with menstrual cycle disorders (Abnormal genital bleeding)
OIC-039-12-B,What is the age limit for Gamete Retrieval (GRT) or IUI in a couple made up of two women?,37,30,40,50,b
OIC-261-11-B,What is the common age range for primary vs secondary GEM?,50,60,70,85,b
OIC-261-03-B,What percentage of IgA-induced glomerulonephritis occurs in patients with diabetes?,10%,30%,5%,20%,b
OIC-261-13-B,What is a key factor that can affect the prognosis of IgA Nephropathy?,Renal function at diagnosis,Presence of systemic vasculitis,Age of onset,Severity of glomerulosclerosis,b
OIC-261-05-B,Which of the following is NOT a main indication for Renal Puncture Biopsy (RPB)?,Pure nephrotic syndrome in children aged 11-20 years,Diabetic retinopathy with haematuria,Amyloidosis on a non-renal biopsy,Hereditary cluster disease already documented in the family,option_a
OIC-261-10-B,What percentage of patients with Glomerular Nephropathy develop corticosensitivity?,70-80%,60-70%,90-100%,50% of cases,option_b
OIC-261-04-A,What is the primary cause of Goodpasture's disease?,Microscopic polyangiitis,Lupus,"Vasculitis, infections",Amyloidosis,option_a
OIC-261-14-A,What is a characteristic sign of rapidly progressive glomerulonephritis (RPGN) that helps differentiate it from other forms of nephritic syndrome?,Haematuria,Alveolar haemorrhage,Cortical atrophy,Renal failure without significant proteinuria,b
OIC-261-01-A,How is glomerular proteinuria confirmed by an assay?,By measuring albumin levels in the urine,By analyzing blood pressure and fluid status,By using a urinalysis kit to detect high protein levels on a dipstick test,By imaging studies such as ultrasound or CT scans,option_a
OIC-261-15-A,What indicates the need for emergency haemodialysis in GNRP syndrome?,Stage 4 chronic kidney disease,Haemolysis with high bilirubin levels,Pulmonary hypertension,Hypotension,b
OIC-261-17-B,What is a common request made to patients suspected of having Acute Post-Infectious Glomerulonephritis?,Urine sediment and serum creatinine,Stable blood urea nitrogen (BUN) levels,C3 complement level,Serum protein levels,option_a
OIC-261-16-B,What is a common portal of entry for post-infectious glomerulonephritis?,Skin,ENT,Pneumonia,Insect bites,b
OIC-261-08-A,What is the key factor in diagnosing pure Minimal Glomerular Nephrotic Syndrome (MGNS)?,"Pure nephrotic syndrome, glomerular lesions, and hypertension","A family history of nephropathy, obesity, and smoking","Age between 1 and 10 years, extrarenal signs, or normal serum complement, which is false because in children with pure SNLGM, the absence of any extrarenal signs is a key finding",Thrombosis and infections as complications,option_c
OIC-261-06-B,Which type of cell proliferation is associated with mesangial hypercellularity?,Mesangial Proliferation,Endocapillary Proliferation,Extracapillary Proliferation,Other Deposits,option_a
OIC-261-02-A,What is the characteristic sign of Recurrent Macroscopic Haematuria Syndrome?,Microscopic haematuria,Macroscopic haematuria,Proteinuria,Hypertension,b
OIC-261-12-B,What is typically associated with microscopic haematuria in patients suspected of having IgA Nephropathy?,NIgA,Isolated proteinuria,Rheumatoid arthritis,Primary IgA Nephropathy,b
OIC-261-09-B,What is the mainstay of treatment for Idiopathic SNLGM?,Long-term dialysis,High-dose oral corticosteroid therapy only,"Combination of diet, calcium, and vitamin D plus aggressive dialysis",Surgery,c
OIC-261-18-B,"What is the main principle of treating Glomerular Nephropathy (GNRP), given that corticosteroids and immunosuppressants are used?",Spontaneous remission,Partial remission with persistent proteinuria,Therapeutic urgency,"Fluid and electrolyte disorders, ARF, respiratory failure, anemia",c
OIC-261-07-B,What is characteristic of Minimal Change Disease-GEMN?,IgA and mesangial deposits,Mesangial proliferation ± endocapillary deposition,No IgA or mesangial deposits,Extramembranous IgG and C3 deposits,c
OIC-075-04-B,What is the primary way in which nicotine is delivered to the body through tobacco smoke?,Through the lungs,Into the bloodstream,When exhaled out of the body,In the mouth and throat,a
OIC-075-29-B,What is the most common psychiatric disorder associated with smoking dependence?,Schizophrenia,Bipolar Disorder,Anxiety Disorders and Major Depressive Episodes,Improvement in Anxiety and Depression Symptoms and Quality of Life,option_b
OIC-075-09-A,When does tobacco experimentation among young people typically begin?,Age 13,Age 14,Age 16,Age 18,b
OIC-075-30-B,What is a key component for successful long-term smoking cessation management?,(1) Agreed upon frequency of follow-up sessions,(2) Increased use of alcohol and cannabis as triggers for relapse,(3) Rewarding the smoker with non-smoking related goods or services after a relapse,(4) A strict adherence to a certain number of days without smoking as a measure of success,(1)
OIC-075-02-A,What is nicotine the main agent responsible for addiction?,True,False,Invalid,True,a
OIC-075-25-A,Which measure is most effective in reducing the prevalence of children becoming non-smoking adults?,Introduction of plain packaging,Protecting children and preventing them from taking up smoking,Encouraging and supporting smokers to quit,"Monitoring, evaluating, researching, and disseminating knowledge about tobacco",optiion_a
OIC-075-10-A,What percentage of pregnant women still smoke in the United States?,40%,50%,20%,60%,b
OIC-075-20-A,What should you do if someone is strongly addicted to nicotine?, ,Call a quitline for advice,Encourage them to stop, ,b
OIC-075-17-A,What is the most common non-psychiatric complication of passive smoking?,Ischaemic heart disease,Bronchopulmonary cancer,Otitis and asthma in adults,Fungal infections in children,option_a
OIC-075-08-A,What percentage of men and women reported smoking tobacco in 2019?,25%,20%,34.6%,30.4%,a
OIC-075-14-A,What percentage of deaths in France attributed to smoking?,23.5%,12.6%,75% ,15%,c
OIC-075-27-A,What is the main purpose of using the Tabac Info Service?,Provide free access to quit-smoking resources.,Offer a one-size-fits-all approach to help smokers stop.,Allow patients to self-diagnose their nicotine addiction without any professional guidance.,Promote tobacco products as an alternative to smoking cessation.,option_a
OIC-075-05-B,What is the primary effect of tobacco smoke on arteries?,Causes inflammation,Promotes endothelial dysfunction,Increases platelet aggregation,Passes into the bloodstream and causes arterial thrombosis,d
OIC-075-15-A,What are the primary cardiovascular conditions associated with smoking addiction?,Coronary heart disease,Obliterative arterial disease of the lower limbs,Hypertensive heart disease,Abdominal aortic aneurysm,option_a
